;;12-13;12-13;13-14;13-14;14-15;14-15;15-16;15-16;16-17;16-17;17-18;17-18;18-19;18-19;19-20;19-20;Total geral;Total geral
2023-03-11;45 - CROISSANT TRADICIONAL;;;R$ 14,00;1.00;;;;;;;;;;;;;R$ 14,00;1.00
2023-03-11;51 - CROISSANT COM GELEIA;;;;;;;;;R$ 19,00;1.00;;;;;;;R$ 19,00;1.00
2023-03-11;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;R$ 22,00;1.00;;;;;;;;;;;R$ 22,00;1.00
2023-03-11;8 - CAFE DM;;;;;;;;;R$ 20,00;1.00;;;;;;;R$ 20,00;1.00
2023-03-11 Total;2023-03-11 Total;;;R$ 64,00;4.00;R$ 22,00;1.00;;;R$ 39,00;2.00;;;;;;;R$ 125,00;7.00
2023-03-13;106 - CROISSANT COM CARNE DE SOL;;;;;;;;;;;;;R$ 25,00;1.00;;;R$ 25,00;1.00
2023-03-13;120 - EMPANADA ARGENTINA;;;R$ 16,00;1.00;;;R$ 32,00;2.00;;;;;;;R$ 32,00;2.00;R$ 80,00;5.00
2023-03-13;127 - MASSA FOLHEADA;;;R$ 16,00;1.00;;;;;;;;;;;;;R$ 16,00;1.00
2023-03-13;13 - CAPPUCCINO ITALIANO;;;;;;;R$ 15,00;1.00;R$ 15,00;1.00;;;;;;;R$ 30,00;2.00
2023-03-13;131 - ALFAJOR;;;;;;;;;R$ 12,00;1.00;;;;;;;R$ 12,00;1.00
2023-03-13;15 - CAPPUCCINO CREME DE AVELA;;;;;;;;;R$ 17,00;1.00;;;;;;;R$ 17,00;1.00
2023-03-13;17 - CAFE LATTE TRADICIONAL;;;R$ 16,00;1.00;;;R$ 16,00;1.00;;;;;;;;;R$ 32,00;2.00
2023-03-13;31 - SCHWEPPES;;;;;;;R$ 0,00;0.00;;;;;;;;;R$ 0,00;0.00
2023-03-13;35 - PAO DE QUEIJO PORCAO;;;;;;;;;R$ 12,00;1.00;R$ 12,00;1.00;;;;;R$ 24,00;2.00
2023-03-13;39 - SUCO DE LARANJA;;;R$ 9,00;1.00;;;;;;;;;;;R$ 9,00;1.00;R$ 18,00;2.00
2023-03-13;4 - CAFE FILTRADO PRENSA FRANCESA;;;;;R$ 28,00;2.00;;;R$ 14,00;1.00;;;;;;;R$ 42,00;3.00
2023-03-13;42 - AGUA MINERAL 330ML;;;;;;;R$ 6,00;1.00;R$ 6,00;1.00;;;;;;;R$ 12,00;2.00
2023-03-13;46 - CROISSANT COM QUEIJO;;;;;;;;;R$ 18,00;1.00;;;;;;;R$ 18,00;1.00
2023-03-13;5 - ESPRESSO;;;R$ 8,00;1.00;;;;;;;;;;;R$ 16,00;2.00;R$ 24,00;3.00
2023-03-13;54 - BOLO DO DIA;;;;;;;R$ 15,00;1.00;R$ 15,00;1.00;;;;;;;R$ 30,00;2.00
2023-03-13;57 - BRIGADEIRO;;;;;;;;;;;;;;;R$ 6,00;1.00;R$ 6,00;1.00
2023-03-13;60 - COOKIE;;;R$ 13,00;1.00;R$ 26,00;2.00;;;R$ 13,00;1.00;;;;;;;R$ 52,00;4.00
2023-03-13;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;;;;;R$ 22,00;1.00;;;;;;;R$ 22,00;1.00
2023-03-13;84 - CROISSANT QUEIJO TOMATE OREGAN;;;;;;;R$ 21,00;1.00;;;;;;;;;R$ 21,00;1.00
2023-03-13;85 - GUARANA ANTARTICA;;;;;;;R$ 6,00;1.00;;;;;;;;;R$ 6,00;1.00
2023-03-13;88 - TORTA DO DIA;;;;;;;R$ 42,00;2.00;R$ 21,00;1.00;;;;;;;R$ 63,00;3.00
2023-03-13;89 - BROWNIE;;;R$ 14,00;1.00;;;;;;;;;;;;;R$ 14,00;1.00
2023-03-13;93 - PAO DE QUEIJO GRANDE;;;;;;;;;;;;;;;R$ 10,00;1.00;R$ 10,00;1.00
2023-03-13 Total;2023-03-13 Total;;;R$ 92,00;7.00;R$ 54,00;4.00;R$ 153,00;10.00;R$ 165,00;11.00;R$ 12,00;1.00;R$ 25,00;1.00;R$ 73,00;7.00;R$ 574,00;41.00
2023-03-14;120 - EMPANADA ARGENTINA;;;;;;;R$ 16,00;1.00;;;;;;;;;R$ 16,00;1.00
2023-03-14;123 - QUICHES DOCES;;;;;R$ 14,00;1.00;;;;;;;;;;;R$ 14,00;1.00
2023-03-14;13 - CAPPUCCINO ITALIANO;;;;;R$ 15,00;1.00;;;R$ 30,00;2.00;;;R$ 15,00;1.00;;;R$ 60,00;4.00
2023-03-14;131 - ALFAJOR;;;R$ 24,00;2.00;;;;;;;;;;;R$ 12,00;1.00;R$ 36,00;3.00
2023-03-14;16 - CAPPUCCINO SABORIZADO;;;;;;;;;;;;;R$ 17,00;1.00;;;R$ 17,00;1.00
2023-03-14;17 - CAFE LATTE TRADICIONAL;;;;;;;R$ 16,00;1.00;;;;;;;;;R$ 16,00;1.00
2023-03-14;28 - ICED LATTE;;;R$ 18,00;1.00;;;;;;;;;;;;;R$ 18,00;1.00
2023-03-14;35 - PAO DE QUEIJO PORCAO;;;R$ 12,00;1.00;;;;;;;;;;;R$ 12,00;1.00;R$ 24,00;2.00
2023-03-14;4 - CAFE FILTRADO PRENSA FRANCESA;;;;;;;;;;;;;;;R$ 14,00;1.00;R$ 14,00;1.00
2023-03-14;41 - COCA COLA ZERO;;;;;;;;;R$ 6,00;1.00;;;;;;;R$ 6,00;1.00
2023-03-14;42 - AGUA MINERAL 330ML;;;;;R$ 6,00;1.00;;;;;;;;;;;R$ 6,00;1.00
2023-03-14;43 - AGUA MINERAL COM GAS 330ML;;;R$ 6,00;1.00;;;;;;;;;;;;;R$ 6,00;1.00
2023-03-14;45 - CROISSANT TRADICIONAL;;;;;;;;;R$ 14,00;1.00;;;R$ 14,00;1.00;;;R$ 28,00;2.00
2023-03-14;5 - ESPRESSO;;;R$ 8,00;1.00;;;;;;;;;;;;;R$ 8,00;1.00
2023-03-14;57 - BRIGADEIRO;;;R$ 6,00;1.00;;;;;;;;;;;;;R$ 6,00;1.00
2023-03-14;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;;;R$ 22,00;1.00;;;;;;;;;R$ 22,00;1.00
2023-03-14;75 - PRENSA FRANCESA;;;;;;;;;;;;;;;R$ 0,00;0.00;R$ 0,00;0.00
2023-03-14;84 - CROISSANT QUEIJO TOMATE OREGAN;;;;;;;;;;;;;R$ 21,00;1.00;;;R$ 21,00;1.00
2023-03-14;89 - BROWNIE;;;;;;;R$ 14,00;1.00;;;;;R$ 14,00;1.00;;;R$ 28,00;2.00
2023-03-14 Total;2023-03-14 Total;;;R$ 74,00;7.00;R$ 35,00;3.00;R$ 68,00;4.00;R$ 50,00;4.00;;;R$ 81,00;5.00;R$ 38,00;3.00;R$ 346,00;26.00
2023-03-15;106 - CROISSANT COM CARNE DE SOL;;;;;;;;;R$ 25,00;1.00;;;;;;;R$ 25,00;1.00
2023-03-15;11 - MACCHIATTO;;;;;;;R$ 10,00;1.00;;;;;;;;;R$ 10,00;1.00
2023-03-15;120 - EMPANADA ARGENTINA;;;;;R$ 16,00;1.00;;;;;;;;;;;R$ 16,00;1.00
2023-03-15;123 - QUICHES DOCES;;;;;;;R$ 28,00;2.00;-R$ 14,00;-1.00;;;;;;;R$ 14,00;1.00
2023-03-15;13 - CAPPUCCINO ITALIANO;;;;;;;R$ 15,00;1.00;R$ 15,00;1.00;;;;;R$ 15,00;1.00;R$ 45,00;3.00
2023-03-15;17 - CAFE LATTE TRADICIONAL;;;;;;;;;R$ 32,00;2.00;;;;;;;R$ 32,00;2.00
2023-03-15;19 - CHOCOLATE QUENTE MARSHMALLOW;;;;;;;;;;;;;R$ 20,00;1.00;;;R$ 20,00;1.00
2023-03-15;2 - CAFE FILTRADO CHEMEX;;;;;R$ 15,00;1.00;;;;;;;;;;;R$ 15,00;1.00
2023-03-15;35 - PAO DE QUEIJO PORCAO;;;;;;;;;;;;;;;R$ 12,00;1.00;R$ 12,00;1.00
2023-03-15;40 - COCA COLA;;;;;;;;;R$ 6,00;1.00;;;;;;;R$ 6,00;1.00
2023-03-15;41 - COCA COLA ZERO;;;;;;;;;;;R$ 6,00;1.00;;;;;R$ 6,00;1.00
2023-03-15;42 - AGUA MINERAL 330ML;;;;;;;;;R$ 12,00;2.00;;;;;R$ 6,00;1.00;R$ 18,00;3.00
2023-03-15;43 - AGUA MINERAL COM GAS 330ML;;;;;;;R$ 6,00;1.00;;;;;;;;;R$ 6,00;1.00
2023-03-15;45 - CROISSANT TRADICIONAL;;;;;;;;;;;;;R$ 14,00;1.00;;;R$ 14,00;1.00
2023-03-15;46 - CROISSANT COM QUEIJO;;;;;;;;;;;;;R$ 18,00;1.00;R$ 18,00;1.00;R$ 36,00;2.00
2023-03-15;5 - ESPRESSO;;;;;;;;;R$ 8,00;1.00;;;;;;;R$ 8,00;1.00
2023-03-15;60 - COOKIE;;;;;;;;;R$ 13,00;1.00;R$ 13,00;1.00;;;;;R$ 26,00;2.00
2023-03-15;88 - TORTA DO DIA;;;;;;;;;R$ 21,00;1.00;;;;;;;R$ 21,00;1.00
2023-03-15;89 - BROWNIE;;;;;;;R$ 14,00;1.00;R$ 14,00;1.00;R$ 14,00;1.00;;;;;R$ 42,00;3.00
2023-03-15;91 - CROISSANT FRANGO E QUEIJO;;;;;;;;;R$ 24,00;1.00;;;;;;;R$ 24,00;1.00
2023-03-15;94 - PORCAO EXTRA;;;;;;;;;;;;;;;R$ 3,00;1.00;R$ 3,00;1.00
2023-03-15 Total;2023-03-15 Total;;;;;R$ 31,00;2.00;R$ 73,00;6.00;R$ 156,00;11.00;R$ 33,00;3.00;R$ 52,00;3.00;R$ 54,00;5.00;R$ 399,00;30.00
2023-03-16;11 - MACCHIATTO;;;;;;;;;R$ 10,00;1.00;;;;;;;R$ 10,00;1.00
2023-03-16;120 - EMPANADA ARGENTINA;;;R$ 16,00;1.00;;;;;;;;;;;;;R$ 16,00;1.00
2023-03-16;13 - CAPPUCCINO ITALIANO;;;R$ 15,00;1.00;R$ 30,00;2.00;;;R$ 15,00;1.00;;;;;;;R$ 60,00;4.00
2023-03-16;133 - COMBO PAO DE QUEIJO CAPP ITALI;;;;;;;;;;;;;R$ 22,00;1.00;;;R$ 22,00;1.00
2023-03-16;17 - CAFE LATTE TRADICIONAL;;;;;;;R$ 16,00;1.00;;;;;;;;;R$ 16,00;1.00
2023-03-16;35 - PAO DE QUEIJO PORCAO;;;;;R$ 12,00;1.00;;;;;;;;;;;R$ 12,00;1.00
2023-03-16;39 - SUCO DE LARANJA;;;R$ 9,00;1.00;;;;;;;;;;;;;R$ 9,00;1.00
2023-03-16;42 - AGUA MINERAL 330ML;;;;;;;R$ 6,00;1.00;;;;;;;;;R$ 6,00;1.00
2023-03-16;46 - CROISSANT COM QUEIJO;;;;;;;R$ 18,00;1.00;;;;;;;;;R$ 18,00;1.00
2023-03-16;5 - ESPRESSO;;;;;R$ 0,00;0.00;;;;;;;R$ 8,00;1.00;;;R$ 8,00;1.00
2023-03-16;88 - TORTA DO DIA;;;;;;;;;;;R$ 42,00;2.00;;;;;R$ 42,00;2.00
2023-03-16;89 - BROWNIE;;;;;;;;;R$ 14,00;1.00;;;;;;;R$ 14,00;1.00
2023-03-16;93 - PAO DE QUEIJO GRANDE;;;;;;;;;R$ 10,00;1.00;;;;;;;R$ 10,00;1.00
2023-03-16 Total;2023-03-16 Total;;;R$ 40,00;3.00;R$ 42,00;3.00;R$ 40,00;3.00;R$ 49,00;4.00;R$ 42,00;2.00;R$ 30,00;2.00;;;R$ 243,00;17.00
2023-03-17;11 - MACCHIATTO;;;R$ 10,00;1.00;;;;;;;;;;;;;R$ 10,00;1.00
2023-03-17;120 - EMPANADA ARGENTINA;;;;;R$ 16,00;1.00;;;;;;;;;;;R$ 16,00;1.00
2023-03-17;123 - QUICHES DOCES;;;R$ 14,00;1.00;;;;;;;;;;;;;R$ 14,00;1.00
2023-03-17;133 - COMBO PAO DE QUEIJO CAPP ITALI;;;;;;;R$ 22,00;1.00;;;;;;;;;R$ 22,00;1.00
2023-03-17;41 - COCA COLA ZERO;;;R$ 6,00;1.00;;;;;;;;;;;;;R$ 6,00;1.00
2023-03-17;43 - AGUA MINERAL COM GAS 330ML;;;R$ 12,00;2.00;;;;;;;;;;;;;R$ 12,00;2.00
2023-03-17;5 - ESPRESSO;;;;;;;;;;;;;R$ 8,00;1.00;R$ 8,00;1.00;R$ 16,00;2.00
2023-03-17;56 - LATTE BISCOFF;;;;;;;R$ 20,00;1.00;;;;;;;;;R$ 20,00;1.00
2023-03-17;60 - COOKIE;;;;;R$ 13,00;1.00;R$ 13,00;1.00;;;;;;;;;R$ 26,00;2.00
2023-03-17;8 - CAFE DM;;;;;R$ 20,00;1.00;;;;;;;;;;;R$ 20,00;1.00
2023-03-17;80 - FLAT WHITE;;;;;;;R$ 36,00;2.00;;;;;;;;;R$ 36,00;2.00
2023-03-17;86 - GUARANA ZERO;;;;;R$ 6,00;1.00;;;;;;;;;;;R$ 6,00;1.00
2023-03-17;88 - TORTA DO DIA;;;;;;;R$ 21,00;1.00;;;;;;;;;R$ 21,00;1.00
2023-03-17;89 - BROWNIE;;;R$ 14,00;1.00;R$ 14,00;1.00;R$ 14,00;1.00;;;;;;;;;R$ 42,00;3.00
2023-03-17 Total;2023-03-17 Total;;;R$ 56,00;6.00;R$ 69,00;5.00;R$ 126,00;7.00;;;;;R$ 8,00;1.00;R$ 8,00;1.00;R$ 267,00;20.00
2023-03-18;106 - CROISSANT COM CARNE DE SOL;;;;;;;R$ 25,00;1.00;;;;;;;;;R$ 25,00;1.00
2023-03-18;127 - MASSA FOLHEADA;;;;;R$ 16,00;1.00;;;;;;;;;;;R$ 16,00;1.00
2023-03-18;3 - CAFE FILTRADO AEROPRESS;;;;;;;;;;;R$ 15,00;1.00;;;;;R$ 15,00;1.00
2023-03-18;40 - COCA COLA;;;;;R$ 6,00;1.00;;;;;;;;;;;R$ 6,00;1.00
2023-03-18;5 - ESPRESSO;;;;;R$ 8,00;1.00;;;;;;;;;;;R$ 8,00;1.00
2023-03-18;61 - DM BLEND MOIDO 250G;;;;;;;;;;;R$ 38,50;1.00;;;;;R$ 38,50;1.00
2023-03-18;84 - CROISSANT QUEIJO TOMATE OREGAN;;;;;;;;;R$ 21,00;1.00;R$ 21,00;1.00;;;;;R$ 42,00;2.00
2023-03-18;88 - TORTA DO DIA;;;;;;;;;R$ 21,00;1.00;;;;;;;R$ 21,00;1.00
2023-03-18 Total;2023-03-18 Total;;;;;R$ 30,00;3.00;R$ 25,00;1.00;R$ 42,00;2.00;R$ 74,50;3.00;;;;;R$ 171,50;9.00
2023-03-20;1 - CAFE FILTRADO V60;;;;;R$ 15,00;1.00;;;;;;;;;;;R$ 15,00;1.00
2023-03-20;106 - CROISSANT COM CARNE DE SOL;R$ 25,00;1.00;;;;;;;R$ 25,00;1.00;;;;;;;R$ 50,00;2.00
2023-03-20;11 - MACCHIATTO;;;;;;;;;R$ 30,00;3.00;;;R$ 10,00;1.00;;;R$ 40,00;4.00
2023-03-20;120 - EMPANADA ARGENTINA;;;;;R$ 16,00;1.00;;;;;;;R$ 16,00;1.00;R$ 16,00;1.00;R$ 48,00;3.00
2023-03-20;122 - COOKIE NUTELLA;;;;;;;;;R$ 30,00;2.00;;;;;;;R$ 30,00;2.00
2023-03-20;124 - BROWNIE + SORVETE;;;;;;;;;;;R$ 18,00;1.00;;;;;R$ 18,00;1.00
2023-03-20;13 - CAPPUCCINO ITALIANO;;;;;R$ 15,00;1.00;R$ 15,00;1.00;R$ 30,00;2.00;;;R$ 30,00;2.00;;;R$ 90,00;6.00
2023-03-20;133 - COMBO PAO DE QUEIJO CAPP ITALI;;;;;;;R$ 22,00;1.00;;;;;;;;;R$ 22,00;1.00
2023-03-20;17 - CAFE LATTE TRADICIONAL;R$ 16,00;1.00;;;;;;;;;;;;;;;R$ 16,00;1.00
2023-03-20;19 - CHOCOLATE QUENTE MARSHMALLOW;;;;;;;;;;;R$ 20,00;1.00;;;;;R$ 20,00;1.00
2023-03-20;35 - PAO DE QUEIJO PORCAO;;;;;;;;;;;;;R$ 12,00;1.00;;;R$ 12,00;1.00
2023-03-20;39 - SUCO DE LARANJA;;;;;;;R$ 18,00;2.00;R$ 9,00;1.00;R$ 9,00;1.00;;;;;R$ 36,00;4.00
2023-03-20;40 - COCA COLA;;;;;;;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00
2023-03-20;42 - AGUA MINERAL 330ML;;;;;;;;;R$ 18,00;3.00;;;R$ 6,00;1.00;;;R$ 24,00;4.00
2023-03-20;43 - AGUA MINERAL COM GAS 330ML;;;;;;;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00
2023-03-20;45 - CROISSANT TRADICIONAL;;;;;;;;;;;;;R$ 14,00;1.00;;;R$ 14,00;1.00
2023-03-20;5 - ESPRESSO;;;;;R$ 8,00;1.00;R$ 8,00;1.00;R$ 8,00;1.00;;;;;;;R$ 24,00;3.00
2023-03-20;53 - SUCO POLPA;;;;;;;;;;;;;R$ 9,00;1.00;;;R$ 9,00;1.00
2023-03-20;54 - BOLO DO DIA;;;;;;;;;;;R$ 15,00;1.00;;;;;R$ 15,00;1.00
2023-03-20;57 - BRIGADEIRO;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00;;;;;;;R$ 12,00;2.00
2023-03-20;60 - COOKIE;;;;;R$ 13,00;1.00;;;R$ 13,00;1.00;;;;;;;R$ 26,00;2.00
2023-03-20;88 - TORTA DO DIA;;;;;;;R$ 21,00;1.00;;;;;R$ 21,00;1.00;;;R$ 42,00;2.00
2023-03-20;89 - BROWNIE;;;;;;;;;R$ 28,00;2.00;R$ 14,00;1.00;;;;;R$ 42,00;3.00
2023-03-20;93 - PAO DE QUEIJO GRANDE;;;;;;;;;;;;;R$ 10,00;1.00;;;R$ 10,00;1.00
2023-03-20;94 - PORCAO EXTRA;;;;;;;;;;;;;R$ 3,00;1.00;;;R$ 3,00;1.00
2023-03-20 Total;2023-03-20 Total;R$ 41,00;2.00;;;R$ 73,00;6.00;R$ 84,00;6.00;R$ 197,00;17.00;R$ 76,00;5.00;R$ 143,00;13.00;R$ 16,00;1.00;R$ 630,00;50.00
2023-03-21;10 - MATCHA LATTE;;;R$ 14,00;1.00;;;;;;;;;;;;;R$ 14,00;1.00
2023-03-21;11 - MACCHIATTO;;;;;R$ 10,00;1.00;;;;;;;;;;;R$ 10,00;1.00
2023-03-21;121 - QUICHE;;;;;;;;;;;;;R$ 16,00;1.00;;;R$ 16,00;1.00
2023-03-21;122 - COOKIE NUTELLA;;;;;;;;;;;;;R$ 15,00;1.00;;;R$ 15,00;1.00
2023-03-21;127 - MASSA FOLHEADA;;;;;;;;;R$ 16,00;1.00;;;;;;;R$ 16,00;1.00
2023-03-21;13 - CAPPUCCINO ITALIANO;;;R$ 15,00;1.00;;;R$ 15,00;1.00;;;;;;;;;R$ 30,00;2.00
2023-03-21;133 - COMBO PAO DE QUEIJO CAPP ITALI;;;;;;;R$ 22,00;1.00;;;;;;;;;R$ 22,00;1.00
2023-03-21;35 - PAO DE QUEIJO PORCAO;;;;;;;;;;;;;R$ 12,00;1.00;;;R$ 12,00;1.00
2023-03-21;40 - COCA COLA;;;;;;;;;R$ 6,00;1.00;;;;;;;R$ 6,00;1.00
2023-03-21;5 - ESPRESSO;;;;;;;;;R$ 24,00;3.00;;;;;;;R$ 24,00;3.00
2023-03-21;57 - BRIGADEIRO;;;;;R$ 6,00;1.00;;;;;;;;;;;R$ 6,00;1.00
2023-03-21;60 - COOKIE;;;R$ 13,00;1.00;;;;;;;;;;;;;R$ 13,00;1.00
2023-03-21;88 - TORTA DO DIA;;;;;R$ 21,00;1.00;;;;;;;;;;;R$ 21,00;1.00
2023-03-21;89 - BROWNIE;;;;;;;R$ 28,00;2.00;;;;;;;;;R$ 28,00;2.00
2023-03-21 Total;2023-03-21 Total;;;R$ 42,00;3.00;R$ 37,00;3.00;R$ 65,00;4.00;R$ 46,00;5.00;;;R$ 43,00;3.00;;;R$ 233,00;18.00
2023-03-22;1 - CAFE FILTRADO V60;;;;;R$ 15,00;1.00;;;;;;;;;;;R$ 15,00;1.00
2023-03-22;106 - CROISSANT COM CARNE DE SOL;;;;;R$ 25,00;1.00;;;;;R$ 25,00;1.00;;;R$ 25,00;1.00;R$ 75,00;3.00
2023-03-22;11 - MACCHIATTO;;;R$ 20,00;2.00;;;;;;;;;;;;;R$ 20,00;2.00
2023-03-22;120 - EMPANADA ARGENTINA;;;;;;;;;R$ 32,00;2.00;R$ 48,00;3.00;R$ 32,00;2.00;;;R$ 112,00;7.00
2023-03-22;121 - QUICHE;;;R$ 16,00;1.00;;;;;R$ 32,00;2.00;;;;;;;R$ 48,00;3.00
2023-03-22;122 - COOKIE NUTELLA;;;R$ 15,00;1.00;;;;;;;;;;;;;R$ 15,00;1.00
2023-03-22;127 - MASSA FOLHEADA;;;;;;;;;;;R$ 16,00;1.00;;;;;R$ 16,00;1.00
2023-03-22;13 - CAPPUCCINO ITALIANO;;;;;;;R$ 60,00;4.00;R$ 90,00;6.00;R$ 30,00;2.00;;;R$ 15,00;1.00;R$ 195,00;13.00
2023-03-22;131 - ALFAJOR;;;R$ 12,00;1.00;;;;;;;;;;;;;R$ 12,00;1.00
2023-03-22;17 - CAFE LATTE TRADICIONAL;;;;;;;;;R$ 32,00;2.00;R$ 16,00;1.00;;;;;R$ 48,00;3.00
2023-03-22;19 - CHOCOLATE QUENTE MARSHMALLOW;;;;;;;;;;;R$ 20,00;1.00;;;;;R$ 20,00;1.00
2023-03-22;35 - PAO DE QUEIJO PORCAO;;;;;;;R$ 24,00;2.00;R$ 12,00;1.00;R$ 12,00;1.00;;;;;R$ 48,00;4.00
2023-03-22;39 - SUCO DE LARANJA;;;;;R$ 9,00;1.00;;;;;;;R$ 18,00;2.00;;;R$ 27,00;3.00
2023-03-22;40 - COCA COLA;;;;;;;;;R$ 6,00;1.00;;;;;;;R$ 6,00;1.00
2023-03-22;42 - AGUA MINERAL 330ML;;;R$ 6,00;1.00;R$ 6,00;1.00;R$ 6,00;1.00;;;;;;;R$ 6,00;1.00;R$ 24,00;4.00
2023-03-22;43 - AGUA MINERAL COM GAS 330ML;;;;;;;;;R$ 24,00;4.00;R$ 6,00;1.00;;;R$ 6,00;1.00;R$ 36,00;6.00
2023-03-22;45 - CROISSANT TRADICIONAL;;;R$ 42,00;3.00;;;;;R$ 14,00;1.00;R$ 14,00;1.00;;;;;R$ 70,00;5.00
2023-03-22;46 - CROISSANT COM QUEIJO;;;;;;;;;R$ 18,00;1.00;;;;;R$ 18,00;1.00;R$ 36,00;2.00
2023-03-22;5 - ESPRESSO;;;;;;;R$ 8,00;1.00;;;R$ 8,00;1.00;R$ 8,00;1.00;;;R$ 24,00;3.00
2023-03-22;53 - SUCO POLPA;;;;;;;;;;;R$ 9,00;1.00;;;;;R$ 9,00;1.00
2023-03-22;54 - BOLO DO DIA;;;;;;;R$ 15,00;1.00;;;;;;;;;R$ 15,00;1.00
2023-03-22;56 - LATTE BISCOFF;;;R$ 20,00;1.00;;;;;;;;;;;;;R$ 20,00;1.00
2023-03-22;57 - BRIGADEIRO;;;;;;;;;;;R$ 12,00;2.00;;;;;R$ 12,00;2.00
2023-03-22;6 - ESPRESSO DUPLO;;;;;;;;;;;R$ 11,00;1.00;;;;;R$ 11,00;1.00
2023-03-22;60 - COOKIE;;;;;R$ 13,00;1.00;;;;;;;;;;;R$ 13,00;1.00
2023-03-22;72 - CROISSANT PEITO DE PERU QUEIJO;;;R$ 22,00;1.00;;;;;;;;;R$ 44,00;2.00;;;R$ 66,00;3.00
2023-03-22;84 - CROISSANT QUEIJO TOMATE OREGAN;;;;;;;;;;;R$ 21,00;1.00;;;;;R$ 21,00;1.00
2023-03-22;85 - GUARANA ANTARTICA;;;;;;;;;;;;;R$ 6,00;1.00;R$ 12,00;2.00;R$ 18,00;3.00
2023-03-22;88 - TORTA DO DIA;;;;;;;;;R$ 21,00;1.00;R$ 21,00;1.00;R$ 21,00;1.00;R$ 21,00;1.00;R$ 84,00;4.00
2023-03-22;89 - BROWNIE;;;;;;;;;;;R$ 14,00;1.00;;;;;R$ 14,00;1.00
2023-03-22;91 - CROISSANT FRANGO E QUEIJO;;;;;;;;;R$ 24,00;1.00;R$ 24,00;1.00;R$ 72,00;3.00;R$ 48,00;2.00;R$ 168,00;7.00
2023-03-22;93 - PAO DE QUEIJO GRANDE;;;;;;;;;;;R$ 10,00;1.00;;;;;R$ 10,00;1.00
2023-03-22;95 - BROWNIE BRANCO LIMAO SICILIANO;;;;;R$ 16,00;1.00;;;;;;;;;;;R$ 16,00;1.00
2023-03-22 Total;2023-03-22 Total;;;R$ 153,00;11.00;R$ 84,00;6.00;R$ 113,00;9.00;R$ 305,00;22.00;R$ 317,00;22.00;R$ 201,00;12.00;R$ 151,00;10.00;R$ 1.324,00;92.00
2023-03-23;120 - EMPANADA ARGENTINA;;;;;;;R$ 16,00;1.00;R$ 32,00;2.00;;;;;;;R$ 48,00;3.00
2023-03-23;122 - COOKIE NUTELLA;;;R$ 15,00;1.00;;;;;;;;;;;;;R$ 15,00;1.00
