;;12-13;12-13;13-14;13-14;14-15;14-15;15-16;15-16;16-17;16-17;17-18;17-18;18-19;18-19;19-20;19-20;Total geral;Total geral
2023-03-23;13 - CAPPUCCINO ITALIANO;;;;;R$ 15,00;1.00;;;R$ 30,00;2.00;;;;;;;R$ 45,00;3.00
2023-03-23;131 - ALFAJOR;;;R$ 12,00;1.00;R$ 12,00;1.00;;;;;;;;;;;R$ 24,00;2.00
2023-03-23;133 - COMBO PAO DE QUEIJO CAPP ITALI;;;;;R$ 22,00;1.00;;;;;;;;;;;R$ 22,00;1.00
2023-03-23;2 - CAFE FILTRADO CHEMEX;;;;;;;;;;;R$ 15,00;1.00;;;;;R$ 15,00;1.00
2023-03-23;3 - CAFE FILTRADO AEROPRESS;;;;;;;;;;;R$ 15,00;1.00;;;;;R$ 15,00;1.00
2023-03-23;31 - SCHWEPPES;;;;;;;R$ 6,00;1.00;;;;;;;;;R$ 6,00;1.00
2023-03-23;35 - PAO DE QUEIJO PORCAO;;;R$ 12,00;1.00;R$ 12,00;1.00;;;;;;;;;;;R$ 24,00;2.00
2023-03-23;39 - SUCO DE LARANJA;;;;;;;R$ 9,00;1.00;;;;;;;;;R$ 9,00;1.00
2023-03-23;40 - COCA COLA;;;;;;;;;;;R$ 6,00;1.00;;;;;R$ 6,00;1.00
2023-03-23;42 - AGUA MINERAL 330ML;;;;;;;R$ 6,00;1.00;R$ 6,00;1.00;;;;;;;R$ 12,00;2.00
2023-03-23;43 - AGUA MINERAL COM GAS 330ML;;;;;;;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00
2023-03-23;45 - CROISSANT TRADICIONAL;;;;;;;R$ 14,00;1.00;;;;;;;;;R$ 14,00;1.00
2023-03-23;46 - CROISSANT COM QUEIJO;;;R$ 18,00;1.00;;;;;;;;;;;;;R$ 18,00;1.00
2023-03-23;5 - ESPRESSO;;;;;;;;;;;;;R$ 8,00;1.00;;;R$ 8,00;1.00
2023-03-23;53 - SUCO POLPA;;;;;;;R$ 9,00;1.00;;;;;;;;;R$ 9,00;1.00
2023-03-23;54 - BOLO DO DIA;;;;;;;;;;;R$ 15,00;1.00;;;;;R$ 15,00;1.00
2023-03-23;57 - BRIGADEIRO;;;R$ 6,00;1.00;;;;;;;;;;;;;R$ 6,00;1.00
2023-03-23;60 - COOKIE;;;;;;;R$ 13,00;1.00;;;;;;;;;R$ 13,00;1.00
2023-03-23;89 - BROWNIE;;;;;R$ 14,00;1.00;;;;;;;;;;;R$ 14,00;1.00
2023-03-23;94 - PORCAO EXTRA;;;R$ 3,00;1.00;;;;;;;;;;;;;R$ 3,00;1.00
2023-03-23 Total;2023-03-23 Total;;;R$ 66,00;6.00;R$ 75,00;5.00;R$ 73,00;7.00;R$ 68,00;5.00;R$ 51,00;4.00;R$ 14,00;2.00;;;R$ 347,00;29.00
2023-03-24;10 - MATCHA LATTE;;;;;;;;;;;;;R$ 14,00;1.00;;;R$ 14,00;1.00
2023-03-24;106 - CROISSANT COM CARNE DE SOL;;;;;R$ 25,00;1.00;;;;;;;R$ 25,00;1.00;R$ 25,00;1.00;R$ 75,00;3.00
2023-03-24;120 - EMPANADA ARGENTINA;;;;;;;;;;;;;R$ 64,00;4.00;;;R$ 64,00;4.00
2023-03-24;121 - QUICHE;;;;;;;;;;;R$ 32,00;2.00;;;;;R$ 32,00;2.00
2023-03-24;13 - CAPPUCCINO ITALIANO;;;R$ 15,00;1.00;;;;;;;R$ 15,00;1.00;;;R$ 30,00;2.00;R$ 60,00;4.00
2023-03-24;15 - CAPPUCCINO CREME DE AVELA;;;;;;;;;;;;;R$ 17,00;1.00;;;R$ 17,00;1.00
2023-03-24;19 - CHOCOLATE QUENTE MARSHMALLOW;;;;;;;;;;;R$ 20,00;1.00;R$ 80,00;4.00;;;R$ 100,00;5.00
2023-03-24;39 - SUCO DE LARANJA;;;;;;;;;;;;;R$ 18,00;2.00;;;R$ 18,00;2.00
2023-03-24;40 - COCA COLA;;;R$ 12,00;2.00;R$ 6,00;1.00;;;;;;;;;;;R$ 18,00;3.00
2023-03-24;41 - COCA COLA ZERO;;;;;;;R$ 6,00;1.00;;;;;R$ 12,00;2.00;;;R$ 18,00;3.00
2023-03-24;42 - AGUA MINERAL 330ML;;;;;;;;;;;R$ 6,00;1.00;R$ 6,00;1.00;;;R$ 12,00;2.00
2023-03-24;46 - CROISSANT COM QUEIJO;;;R$ 18,00;1.00;;;;;;;;;;;;;R$ 18,00;1.00
2023-03-24;5 - ESPRESSO;;;;;R$ 8,00;1.00;R$ 8,00;1.00;;;;;;;;;R$ 16,00;2.00
2023-03-24;54 - BOLO DO DIA;;;;;;;R$ 15,00;1.00;;;;;;;;;R$ 15,00;1.00
2023-03-24;56 - LATTE BISCOFF;;;;;;;R$ 20,00;1.00;;;;;;;;;R$ 20,00;1.00
2023-03-24;57 - BRIGADEIRO;;;R$ 6,00;1.00;;;;;;;;;;;;;R$ 6,00;1.00
2023-03-24;6 - ESPRESSO DUPLO;;;;;;;;;;;;;R$ 11,00;1.00;;;R$ 11,00;1.00
2023-03-24;60 - COOKIE;;;;;;;R$ 13,00;1.00;;;;;;;;;R$ 13,00;1.00
2023-03-24;8 - CAFE DM;;;;;;;;;;;;;R$ 20,00;1.00;;;R$ 20,00;1.00
2023-03-24;84 - CROISSANT QUEIJO TOMATE OREGAN;;;R$ 21,00;1.00;;;;;;;R$ 21,00;1.00;;;;;R$ 42,00;2.00
2023-03-24;89 - BROWNIE;;;R$ 14,00;1.00;;;;;;;;;;;;;R$ 14,00;1.00
2023-03-24;91 - CROISSANT FRANGO E QUEIJO;;;R$ 24,00;1.00;;;;;;;;;R$ 48,00;2.00;R$ 24,00;1.00;R$ 96,00;4.00
2023-03-24;93 - PAO DE QUEIJO GRANDE;;;;;;;R$ 10,00;1.00;;;;;;;;;R$ 10,00;1.00
2023-03-24;95 - BROWNIE BRANCO LIMAO SICILIANO;;;R$ 16,00;1.00;;;;;;;;;;;;;R$ 16,00;1.00
2023-03-24 Total;2023-03-24 Total;;;R$ 126,00;9.00;R$ 39,00;3.00;R$ 72,00;6.00;;;R$ 94,00;6.00;R$ 315,00;20.00;R$ 79,00;4.00;R$ 725,00;48.00
2023-03-25;13 - CAPPUCCINO ITALIANO;;;;;;;;;;;;;R$ 15,00;1.00;;;R$ 15,00;1.00
2023-03-25;18 - CAFE LATTE SABORIZADO;;;;;;;;;R$ 18,00;1.00;;;;;;;R$ 18,00;1.00
2023-03-25;39 - SUCO DE LARANJA;;;R$ 9,00;1.00;;;;;R$ 9,00;1.00;-R$ 9,00;-1.00;;;;;R$ 9,00;1.00
2023-03-25;40 - COCA COLA;;;;;;;;;;;R$ 6,00;1.00;;;;;R$ 6,00;1.00
2023-03-25;45 - CROISSANT TRADICIONAL;;;R$ 14,00;1.00;;;;;;;;;;;;;R$ 14,00;1.00
2023-03-25;5 - ESPRESSO;;;;;;;;;R$ 8,00;1.00;;;;;;;R$ 8,00;1.00
2023-03-25;50 - CROISSANT COM NUTELLA;;;;;;;;;R$ 24,00;1.00;;;;;;;R$ 24,00;1.00
2023-03-25;55 - FRAPPE;;;;;;;;;R$ 25,00;1.00;;;;;;;R$ 25,00;1.00
2023-03-25;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;;;;;R$ 66,00;3.00;;;;;;;R$ 66,00;3.00
2023-03-25;8 - CAFE DM;;;;;;;;;;;;;R$ 20,00;1.00;;;R$ 20,00;1.00
2023-03-25;80 - FLAT WHITE;;;;;;;;;;;;;;;R$ 36,00;2.00;R$ 36,00;2.00
2023-03-25;88 - TORTA DO DIA;;;;;;;;;;;;;;;R$ 63,00;3.00;R$ 63,00;3.00
2023-03-25;89 - BROWNIE;;;;;;;;;R$ 14,00;1.00;;;;;;;R$ 14,00;1.00
2023-03-25;93 - PAO DE QUEIJO GRANDE;;;;;;;;;;;;;;;R$ 20,00;2.00;R$ 20,00;2.00
2023-03-25 Total;2023-03-25 Total;;;R$ 23,00;2.00;;;;;R$ 164,00;9.00;-R$ 3,00;0.00;R$ 35,00;2.00;R$ 119,00;7.00;R$ 338,00;20.00
2023-03-27;106 - CROISSANT COM CARNE DE SOL;;;;;;;;;R$ 25,00;1.00;;;;;R$ 25,00;1.00;R$ 50,00;2.00
2023-03-27;120 - EMPANADA ARGENTINA;;;;;;;;;R$ 16,00;1.00;;;;;;;R$ 16,00;1.00
2023-03-27;121 - QUICHE;;;;;;;R$ 16,00;1.00;;;;;;;;;R$ 16,00;1.00
2023-03-27;123 - QUICHES DOCES;;;;;;;;;;;R$ 14,00;1.00;R$ 14,00;1.00;;;R$ 28,00;2.00
2023-03-27;128 - FRAPPE NUTELLA;;;;;;;;;R$ 27,00;1.00;;;;;;;R$ 27,00;1.00
2023-03-27;13 - CAPPUCCINO ITALIANO;;;;;;;R$ 15,00;1.00;;;R$ 15,00;1.00;R$ 30,00;2.00;R$ 30,00;2.00;R$ 90,00;6.00
2023-03-27;132 - COMBO CROISSANT CAPP ITALIANO;;;;;;;;;;;R$ 31,00;1.00;R$ 31,00;1.00;;;R$ 62,00;2.00
2023-03-27;133 - COMBO PAO DE QUEIJO CAPP ITALI;;;;;;;;;R$ 22,00;1.00;;;;;;;R$ 22,00;1.00
2023-03-27;134 - TODDYNHO;;;R$ 4,50;1.00;;;;;;;;;;;;;R$ 4,50;1.00
2023-03-27;135 - YOPRO;;;;;;;R$ 13,00;1.00;;;;;;;;;R$ 13,00;1.00
2023-03-27;15 - CAPPUCCINO CREME DE AVELA;;;;;;;;;R$ 34,00;2.00;;;;;;;R$ 34,00;2.00
2023-03-27;39 - SUCO DE LARANJA;;;;;;;R$ 9,00;1.00;;;;;;;;;R$ 9,00;1.00
2023-03-27;40 - COCA COLA;;;;;;;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00
2023-03-27;42 - AGUA MINERAL 330ML;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00;;;;;R$ 12,00;2.00
2023-03-27;45 - CROISSANT TRADICIONAL;;;;;;;;;;;;;R$ 14,00;1.00;;;R$ 14,00;1.00
2023-03-27;50 - CROISSANT COM NUTELLA;;;;;;;;;R$ 24,00;1.00;;;;;;;R$ 24,00;1.00
2023-03-27;53 - SUCO POLPA;;;;;;;;;R$ 9,00;1.00;;;;;;;R$ 9,00;1.00
2023-03-27;57 - BRIGADEIRO;;;;;R$ 12,00;2.00;;;;;;;;;;;R$ 12,00;2.00
2023-03-27;6 - ESPRESSO DUPLO;;;;;;;;;R$ 22,00;2.00;;;;;;;R$ 22,00;2.00
2023-03-27;60 - COOKIE;;;;;;;R$ 13,00;1.00;;;R$ 13,00;1.00;;;;;R$ 26,00;2.00
2023-03-27;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;;;;;;;;;R$ 22,00;1.00;;;R$ 22,00;1.00
2023-03-27;80 - FLAT WHITE;;;;;;;;;;;R$ 18,00;1.00;;;;;R$ 18,00;1.00
2023-03-27;84 - CROISSANT QUEIJO TOMATE OREGAN;;;;;;;R$ 42,00;2.00;;;;;;;;;R$ 42,00;2.00
2023-03-27;85 - GUARANA ANTARTICA;;;;;;;R$ 6,00;1.00;;;;;;;;;R$ 6,00;1.00
2023-03-27;89 - BROWNIE;;;;;;;;;R$ 28,00;2.00;;;;;;;R$ 28,00;2.00
2023-03-27;93 - PAO DE QUEIJO GRANDE;;;;;;;R$ 10,00;1.00;;;R$ 10,00;1.00;;;R$ 10,00;1.00;R$ 30,00;3.00
2023-03-27;94 - PORCAO EXTRA;;;;;;;;;;;;;R$ 3,00;1.00;;;R$ 3,00;1.00
2023-03-27 Total;2023-03-27 Total;;;R$ 4,50;1.00;R$ 12,00;2.00;R$ 130,00;10.00;R$ 207,00;12.00;R$ 107,00;7.00;R$ 120,00;8.00;R$ 65,00;4.00;R$ 645,50;44.00
2023-03-28;106 - CROISSANT COM CARNE DE SOL;;;;;;;;;R$ 50,00;2.00;;;R$ 50,00;2.00;;;R$ 100,00;4.00
2023-03-28;120 - EMPANADA ARGENTINA;;;;;;;;;;;;;R$ 16,00;1.00;;;R$ 16,00;1.00
2023-03-28;123 - QUICHES DOCES;;;;;;;R$ 14,00;1.00;;;R$ 14,00;1.00;;;;;R$ 28,00;2.00
2023-03-28;124 - BROWNIE + SORVETE;;;;;;;;;;;R$ 18,00;1.00;;;;;R$ 18,00;1.00
2023-03-28;128 - FRAPPE NUTELLA;;;;;;;R$ 54,00;2.00;;;;;;;;;R$ 54,00;2.00
2023-03-28;13 - CAPPUCCINO ITALIANO;;;;;R$ 15,00;1.00;;;R$ 30,00;2.00;R$ 15,00;1.00;;;;;R$ 60,00;4.00
2023-03-28;133 - COMBO PAO DE QUEIJO CAPP ITALI;;;;;;;;;R$ 22,00;1.00;R$ 44,00;2.00;;;;;R$ 66,00;3.00
2023-03-28;134 - TODDYNHO;;;;;;;;;;;R$ 4,50;1.00;;;;;R$ 4,50;1.00
2023-03-28;16 - CAPPUCCINO SABORIZADO;;;;;;;;;;;;;R$ 17,00;1.00;;;R$ 17,00;1.00
2023-03-28;19 - CHOCOLATE QUENTE MARSHMALLOW;;;;;;;R$ 20,00;1.00;R$ 20,00;1.00;;;;;;;R$ 40,00;2.00
2023-03-28;35 - PAO DE QUEIJO PORCAO;;;;;;;R$ 12,00;1.00;R$ 12,00;1.00;;;;;;;R$ 24,00;2.00
2023-03-28;40 - COCA COLA;;;R$ 6,00;1.00;;;;;;;R$ 18,00;3.00;;;;;R$ 24,00;4.00
2023-03-28;42 - AGUA MINERAL 330ML;;;;;;;R$ 12,00;2.00;R$ 6,00;1.00;;;R$ 6,00;1.00;;;R$ 24,00;4.00
2023-03-28;43 - AGUA MINERAL COM GAS 330ML;;;;;;;;;R$ 6,00;1.00;R$ 6,00;1.00;;;;;R$ 12,00;2.00
2023-03-28;46 - CROISSANT COM QUEIJO;;;;;;;;;R$ 18,00;1.00;;;;;;;R$ 18,00;1.00
2023-03-28;5 - ESPRESSO;;;;;R$ 8,00;1.00;R$ 8,00;1.00;;;R$ 8,00;1.00;;;;;R$ 24,00;3.00
2023-03-28;53 - SUCO POLPA;;;;;;;;;;;R$ 9,00;1.00;;;;;R$ 9,00;1.00
2023-03-28;54 - BOLO DO DIA;;;;;;;R$ 15,00;1.00;R$ 15,00;1.00;;;R$ 15,00;1.00;;;R$ 45,00;3.00
2023-03-28;57 - BRIGADEIRO;;;;;R$ 6,00;1.00;;;;;;;;;;;R$ 6,00;1.00
2023-03-28;6 - ESPRESSO DUPLO;;;;;;;;;;;;;R$ 11,00;1.00;;;R$ 11,00;1.00
2023-03-28;60 - COOKIE;;;;;;;;;R$ 13,00;1.00;;;;;;;R$ 13,00;1.00
2023-03-28;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;;;R$ 22,00;1.00;;;R$ 22,00;1.00;;;;;R$ 44,00;2.00
2023-03-28;88 - TORTA DO DIA;;;;;;;;;;;R$ 21,00;1.00;;;;;R$ 21,00;1.00
2023-03-28;89 - BROWNIE;;;;;;;R$ 14,00;1.00;;;R$ 28,00;2.00;;;;;R$ 42,00;3.00
2023-03-28;91 - CROISSANT FRANGO E QUEIJO;;;;;;;;;;;R$ 24,00;1.00;;;;;R$ 24,00;1.00
2023-03-28;93 - PAO DE QUEIJO GRANDE;;;;;;;;;R$ 10,00;1.00;R$ 10,00;1.00;;;;;R$ 20,00;2.00
2023-03-28 Total;2023-03-28 Total;;;R$ 6,00;1.00;R$ 29,00;3.00;R$ 171,00;11.00;R$ 202,00;13.00;R$ 241,50;18.00;R$ 115,00;7.00;;;R$ 764,50;53.00
2023-03-29;120 - EMPANADA ARGENTINA;;;R$ 16,00;1.00;;;;;;;;;;;;;R$ 16,00;1.00
2023-03-29;124 - BROWNIE + SORVETE;;;;;R$ 18,00;1.00;;;;;;;;;;;R$ 18,00;1.00
2023-03-29;13 - CAPPUCCINO ITALIANO;;;;;R$ 15,00;1.00;R$ 30,00;2.00;;;;;R$ 15,00;1.00;;;R$ 60,00;4.00
2023-03-29;132 - COMBO CROISSANT CAPP ITALIANO;;;;;;;;;;;R$ 31,00;1.00;;;;;R$ 31,00;1.00
2023-03-29;19 - CHOCOLATE QUENTE MARSHMALLOW;;;;;;;;;;;;;R$ 20,00;1.00;;;R$ 20,00;1.00
2023-03-29;3 - CAFE FILTRADO AEROPRESS;;;;;R$ 15,00;1.00;;;;;;;;;;;R$ 15,00;1.00
2023-03-29;35 - PAO DE QUEIJO PORCAO;;;R$ 12,00;1.00;;;;;;;;;;;;;R$ 12,00;1.00
2023-03-29;42 - AGUA MINERAL 330ML;;;;;;;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00
2023-03-29;45 - CROISSANT TRADICIONAL;;;;;R$ 56,00;4.00;;;;;;;;;;;R$ 56,00;4.00
2023-03-29;46 - CROISSANT COM QUEIJO;;;R$ 18,00;1.00;;;;;;;;;;;;;R$ 18,00;1.00
2023-03-29;5 - ESPRESSO;;;R$ 16,00;2.00;R$ 32,00;4.00;;;;;R$ 8,00;1.00;R$ 16,00;2.00;;;R$ 72,00;9.00
2023-03-29;57 - BRIGADEIRO;;;R$ 6,00;1.00;;;;;R$ 12,00;2.00;;;;;;;R$ 18,00;3.00
2023-03-29;60 - COOKIE;;;;;;;;;R$ 13,00;1.00;;;R$ 13,00;1.00;;;R$ 26,00;2.00
2023-03-29;8 - CAFE DM;;;;;;;;;;;R$ 20,00;1.00;;;;;R$ 20,00;1.00
2023-03-29;80 - FLAT WHITE;;;;;;;;;R$ 36,00;2.00;;;;;;;R$ 36,00;2.00
2023-03-29;84 - CROISSANT QUEIJO TOMATE OREGAN;;;;;;;;;R$ 21,00;1.00;;;;;;;R$ 21,00;1.00
2023-03-29;88 - TORTA DO DIA;;;;;R$ 21,00;1.00;;;;;;;R$ 42,00;2.00;;;R$ 63,00;3.00
2023-03-29;89 - BROWNIE;;;;;;;;;;;R$ 28,00;2.00;R$ 14,00;1.00;;;R$ 42,00;3.00
2023-03-29;91 - CROISSANT FRANGO E QUEIJO;;;;;;;;;;;R$ 24,00;1.00;;;R$ 48,00;2.00;R$ 72,00;3.00
2023-03-29;93 - PAO DE QUEIJO GRANDE;;;R$ 10,00;1.00;;;;;;;R$ 10,00;1.00;R$ 10,00;1.00;;;R$ 30,00;3.00
2023-03-29 Total;2023-03-29 Total;;;R$ 78,00;7.00;R$ 157,00;12.00;R$ 30,00;2.00;R$ 82,00;6.00;R$ 121,00;7.00;R$ 136,00;10.00;R$ 48,00;2.00;R$ 652,00;46.00
2023-03-30;10 - MATCHA LATTE;;;;;;;;;R$ 28,00;2.00;;;;;;;R$ 28,00;2.00
2023-03-30;11 - MACCHIATTO;;;;;;;;;R$ 10,00;1.00;;;;;;;R$ 10,00;1.00
2023-03-30;123 - QUICHES DOCES;;;R$ 14,00;1.00;R$ 14,00;1.00;R$ 14,00;1.00;;;;;;;;;R$ 42,00;3.00
2023-03-30;13 - CAPPUCCINO ITALIANO;;;;;;;;;;;;;;;R$ 15,00;1.00;R$ 15,00;1.00
2023-03-30;35 - PAO DE QUEIJO PORCAO;;;;;R$ 12,00;1.00;;;;;;;;;R$ 12,00;1.00;R$ 24,00;2.00
2023-03-30;36 - CHAI LATTE;;;;;;;;;;;;;R$ 16,00;1.00;;;R$ 16,00;1.00
2023-03-30;40 - COCA COLA;;;R$ 6,00;1.00;;;;;;;;;;;;;R$ 6,00;1.00
2023-03-30;41 - COCA COLA ZERO;;;;;;;R$ 6,00;1.00;;;;;;;R$ 6,00;1.00;R$ 12,00;2.00
2023-03-30;42 - AGUA MINERAL 330ML;;;;;;;R$ 12,00;2.00;;;;;;;;;R$ 12,00;2.00
2023-03-30;45 - CROISSANT TRADICIONAL;;;R$ 28,00;2.00;;;;;;;;;R$ 14,00;1.00;;;R$ 42,00;3.00
2023-03-30;5 - ESPRESSO;;;;;R$ 8,00;1.00;R$ 8,00;1.00;R$ 8,00;1.00;;;;;;;R$ 24,00;3.00
2023-03-30;50 - CROISSANT COM NUTELLA;;;;;R$ 24,00;1.00;;;;;;;;;;;R$ 24,00;1.00
2023-03-30;53 - SUCO POLPA;;;;;;;;;;;;;R$ 9,00;1.00;;;R$ 9,00;1.00
2023-03-30;57 - BRIGADEIRO;;;;;;;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00
2023-03-30;6 - ESPRESSO DUPLO;;;;;R$ 11,00;1.00;;;;;;;;;;;R$ 11,00;1.00
2023-03-30;60 - COOKIE;;;;;;;;;R$ 13,00;1.00;;;;;;;R$ 13,00;1.00
2023-03-30;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;;;R$ 22,00;1.00;;;;;;;;;R$ 22,00;1.00
2023-03-30;8 - CAFE DM;;;;;;;;;;;;;R$ 20,00;1.00;;;R$ 20,00;1.00
2023-03-30;85 - GUARANA ANTARTICA;;;;;R$ 6,00;1.00;;;;;;;;;;;R$ 6,00;1.00
2023-03-30;88 - TORTA DO DIA;;;;;;;;;R$ 21,00;1.00;R$ 42,00;2.00;;;;;R$ 63,00;3.00
2023-03-30;89 - BROWNIE;;;;;;;R$ 28,00;2.00;;;;;;;;;R$ 28,00;2.00
2023-03-30;91 - CROISSANT FRANGO E QUEIJO;;;;;;;R$ 48,00;2.00;;;;;;;;;R$ 48,00;2.00
2023-03-30;93 - PAO DE QUEIJO GRANDE;;;;;R$ 20,00;2.00;;;;;;;;;;;R$ 20,00;2.00
2023-03-30 Total;2023-03-30 Total;;;R$ 48,00;4.00;R$ 95,00;8.00;R$ 138,00;10.00;R$ 80,00;6.00;R$ 42,00;2.00;R$ 65,00;5.00;R$ 33,00;3.00;R$ 501,00;38.00
2023-03-31;1 - CAFE FILTRADO V60;;;;;R$ 15,00;1.00;;;;;;;;;;;R$ 15,00;1.00
2023-03-31;106 - CROISSANT COM CARNE DE SOL;;;R$ 25,00;1.00;;;;;;;;;;;;;R$ 25,00;1.00
2023-03-31;120 - EMPANADA ARGENTINA;;;;;;;;;R$ 16,00;1.00;;;;;;;R$ 16,00;1.00
2023-03-31;123 - QUICHES DOCES;;;;;;;;;;;R$ 14,00;1.00;;;;;R$ 14,00;1.00
2023-03-31;128 - FRAPPE NUTELLA;;;;;;;;;;;R$ 54,00;2.00;;;;;R$ 54,00;2.00
2023-03-31;129 - FRAPPE BISCOFF;;;;;;;R$ 30,00;1.00;;;;;;;;;R$ 30,00;1.00
2023-03-31;13 - CAPPUCCINO ITALIANO;;;;;R$ 30,00;2.00;R$ 15,00;1.00;;;R$ 60,00;4.00;;;;;R$ 105,00;7.00
2023-03-31;133 - COMBO PAO DE QUEIJO CAPP ITALI;;;;;;;R$ 22,00;1.00;;;;;;;;;R$ 22,00;1.00
2023-03-31;15 - CAPPUCCINO CREME DE AVELA;;;;;;;R$ 17,00;1.00;;;;;;;;;R$ 17,00;1.00
2023-03-31;17 - CAFE LATTE TRADICIONAL;;;;;R$ 32,00;2.00;;;;;;;;;;;R$ 32,00;2.00
2023-03-31;19 - CHOCOLATE QUENTE MARSHMALLOW;;;;;;;;;;;;;R$ 20,00;1.00;;;R$ 20,00;1.00
2023-03-31;3 - CAFE FILTRADO AEROPRESS;;;;;;;;;;;R$ 15,00;1.00;;;;;R$ 15,00;1.00
2023-03-31;35 - PAO DE QUEIJO PORCAO;;;R$ 12,00;1.00;;;;;;;R$ 36,00;3.00;R$ 12,00;1.00;;;R$ 60,00;5.00
2023-03-31;4 - CAFE FILTRADO PRENSA FRANCESA;;;;;R$ 14,00;1.00;;;;;;;;;;;R$ 14,00;1.00
2023-03-31;40 - COCA COLA;;;R$ 12,00;2.00;;;;;;;;;;;;;R$ 12,00;2.00
2023-03-31;41 - COCA COLA ZERO;;;;;;;;;R$ 6,00;1.00;;;;;;;R$ 6,00;1.00
2023-03-31;42 - AGUA MINERAL 330ML;;;;;;;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00
2023-03-31;46 - CROISSANT COM QUEIJO;;;;;;;;;R$ 36,00;2.00;;;;;;;R$ 36,00;2.00
2023-03-31;5 - ESPRESSO;;;;;R$ 16,00;2.00;;;;;;;;;;;R$ 16,00;2.00
2023-03-31;54 - BOLO DO DIA;;;;;R$ 15,00;1.00;;;;;;;;;;;R$ 15,00;1.00
2023-03-31;57 - BRIGADEIRO;;;;;;;;;R$ 6,00;1.00;;;;;;;R$ 6,00;1.00
2023-03-31;6 - ESPRESSO DUPLO;;;;;;;;;;;R$ 11,00;1.00;;;;;R$ 11,00;1.00
2023-03-31;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;;;;;;;R$ 44,00;2.00;;;;;R$ 44,00;2.00
2023-03-31;81 - CAPPUCCINO CARAMELO SALGADO;;;R$ 13,20;1.00;;;;;;;;;;;;;R$ 13,20;1.00
2023-03-31;89 - BROWNIE;;;;;;;R$ 28,00;2.00;;;R$ 14,00;1.00;R$ 14,00;1.00;;;R$ 56,00;4.00
2023-03-31;93 - PAO DE QUEIJO GRANDE;;;;;;;;;;;R$ 10,00;1.00;;;;;R$ 10,00;1.00
2023-03-31 Total;2023-03-31 Total;;;R$ 62,20;5.00;R$ 122,00;9.00;R$ 112,00;6.00;R$ 64,00;5.00;R$ 258,00;16.00;R$ 52,00;4.00;;;R$ 670,20;45.00
Total geral;Total geral;R$ 41,00;2.00;R$ 1.264,70;101.00;R$ 1.502,00;118.00;R$ 2.256,00;164.00;R$ 2.854,00;199.00;R$ 2.302,00;151.00;R$ 1.982,00;137.00;R$ 896,50;60.00;R$ 13.098,20;932.00
